MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367583670,2024-01-01T00:00:07,29.67547,-89.95925,3.2,2.4,511.0,RACHEL ALEXANDRA,,WDG9038,52,5,18,7,2.6,52,A
353327000,2024-01-01T00:00:01,18.33279,-64.95309,0.0,8.5,199.0,GRAPETREE BAY,IMO8133968,HO8940,52,5,30,10,3.5,52,A
367743760,2024-01-01T00:00:07,30.06494,-90.89104,0.0,173.0,312.0,SANDY B,,WDJ2318,30,0,67,18,2.5,57,A
367608470,2024-01-01T00:00:01,29.95658,-90.39118,0.0,31.1,337.0,SAN SALVADOR,IMO5245370,WDH3551,31,12,116,34,3.0,57,A
367699340,2024-01-01T00:00:03,40.64642,-80.49989,0.0,132.7,511.0,ARTHUR E SNIDER,,WDI4504,32,12,48,12,2.6,32,A
367702040,2024-01-01T00:00:07,30.00973,-90.82935,0.0,83.0,354.0,CAPT BUCK LAY,,WDI4792,31,0,51,13,3.1,31,A
367016010,2024-01-01T00:00:05,27.84416,-97.06524,0.0,360.0,511.0,HENRY T,IMO100561688,WDC3903,31,15,15,7,2.0,31,A
316011905,2024-01-01T00:00:04,43.77286,-78.55798,11.9,68.4,68.0,ROBERT S PIERSON,IMO7366403,CFN4934,79,0,192,21,6.2,79,A
367558650,2024-01-01T00:00:04,37.82916,-76.27911,0.0,276.3,511.0,RAPPAHANNOCK,IMO8115710,WDG6592,30,0,54,12,4.2,30,A
367774150,2024-01-01T00:00:07,38.58857,-90.19826,0.0,328.3,52.0,SCF MARINER,,WDJ4074,31,12,111,33,3.2,57,A
357659000,2024-01-01T00:00:06,29.73232,-89.99588,11.1,137.8,139.0,CARNIVAL GLORY,IMO9198367,3FPS9,60,0,290,44,8.3,60,A
368272090,2024-01-01T00:00:03,29.74113,-95.15897,1.2,256.5,286.0,JACQUES-IMO,,WDN3483,52,12,86,16,3.0,57,A
367776410,2024-01-01T00:00:02,37.81627,-122.37309,0.0,360.0,511.0,SAMMY J,,WDJ4308,60,0,16,6,0.7,60,A
366951730,2024-01-01T00:00:00,37.79254,-122.28166,0.0,310.0,272.0,JEFFREY M,,WSX6846,52,0,26,8,0.0,52,A
368010420,2024-01-01T00:00:00,41.12328,-73.87843,5.4,3.8,2.0,KRISTIN POLING,IMO9378759,WDJ7820,31,0,134,24,5.2,57,A
367028880,2024-01-01T00:00:03,29.79348,-95.06677,0.0,207.7,511.0,DINO JOHN,,WCX6387,52,0,25,8,3.1,52,A
367362960,2024-01-01T00:00:02,29.71312,-93.85934,0.0,263.9,326.0,ST PADRE PIO,IMO8731318,WDE5168,31,12,207,22,2.8,57,A
367664870,2024-01-01T00:00:02,35.08258,-90.14209,0.0,299.2,511.0,JOY WEPFER,,WDH9126,31,0,20,8,0.0,31,A
636017780,2024-01-01T00:00:01,29.45862,-89.64023,11.1,280.0,280.0,OCEAN KNIGHT,IMO9453248,A8XD4,70,0,190,32,6.5,70,A
367766220,2024-01-01T00:00:01,39.17280,-76.41905,0.1,113.7,511.0,DALE PYATT,IMO131462900,WDJ3256,70,3,50,20,2.3,33,A
316002974,2024-01-01T00:00:07,49.12304,-123.18143,0.0,308.7,511.0,VIKING LEADER,,CY9299,30,0,18,8,3.0,30,A
368184980,2024-01-01T00:00:07,29.75855,-95.09988,0.0,294.3,19.0,HOUSTON HONOR,IMO1311726,WDM2086,57,5,81,12,3.1,52,A
367001890,2024-01-01T00:00:02,28.41407,-80.61137,0.0,262.0,511.0,MISS JUANITA,,WDC3039,52,0,9,17,2.2,52,A
367703790,2024-01-01T00:00:02,29.76462,-95.08832,2.8,146.2,323.0,AMERICAN PROGRESS,,WDI4961,31,12,116,18,2.8,57,A
368280920,2024-01-01T00:00:05,29.31370,-94.78601,0.0,272.1,176.0,BRIANNA MARIE,IMO1325578,WDN4428,52,0,20,9,2.8,52,A
368174490,2024-01-01T00:00:08,30.02261,-90.47619,0.0,311.1,511.0,ROCK SOLID,,WDL8951,31,13,9,8,0.0,31,A
367419590,2024-01-01T00:00:09,21.28694,-157.84308,0.1,153.4,61.0,STARR,,WDE9642,37,5,24,6,2.0,37,A
367791550,2024-01-01T00:00:09,40.70425,-73.97664,0.0,215.8,111.0,FLYER,,WDJ5814,60,0,26,8,2.0,60,A
367119340,2024-01-01T00:00:10,41.07377,-71.93760,0.0,99.4,511.0,HEATHER LYNN,IMO8409989,WXX7462,30,15,26,7,0.0,0,A
366823870,2024-01-01T00:00:06,29.81676,-90.00591,0.0,2.7,511.0,MISS CLO,,WDA5789,30,0,12,4,0.0,30,A
368113370,2024-01-01T00:00:05,35.08672,-90.08944,0.0,63.8,212.0,OUIZEE,,WDL2577,31,12,26,10,3.4,31,A
367562810,2024-01-01T00:00:04,29.75836,-95.09330,0.6,168.7,287.0,GARY REED,,WDG6997,31,0,119,34,3.0,52,A
367004570,2024-01-01T00:00:00,29.91555,-89.92112,0.9,43.3,511.0,WAR ADMIRAL,,WDH7806,31,0,17,7,2.5,31,A
367798430,2024-01-01T00:00:01,40.73434,-73.96681,21.9,171.0,172.0,STARLIGHT,,WDJ6505,60,0,26,8,2.0,60,A
368067520,2024-01-01T00:00:09,28.69659,-89.39599,0.0,286.3,351.0,SP 89E,,WRCQ766,3,15,46,41,0.0,3,A
538071937,2024-01-01T00:00:06,25.77308,-80.14298,0.0,315.4,327.0,DEFIANT,IMO1011290,V7A6240,0,5,42,9,2.0,0,A
248621000,2024-01-01T00:00:04,17.18436,-67.02747,9.8,83.6,84.0,MISSISSIPPI  STAR,IMO9527623,9HA2441,89,0,129,24,7.1,89,A
316050825,2024-01-01T00:00:01,44.17350,-76.50243,0.0,360.0,511.0,SIMCOE ISLANDER II,,FISI2,99,15,0,0,0.0,99,A
367517630,2024-01-01T00:00:36,29.77516,-95.07836,0.0,141.3,282.0,CANVASBACK,,WDG2633,30,5,122,18,2.9,57,A
368024740,2024-01-01T00:00:08,33.74724,-118.21567,0.0,44.0,100.0,PILOT BOAT ORION,,WDJ9306,50,0,19,6,0.0,50,A
367595180,2024-01-01T00:00:06,30.19463,-93.29137,7.6,53.1,55.0,BOBBY GOLDING,,WDH2183,52,5,26,10,3.0,57,A
367093970,2024-01-01T00:00:09,38.50849,-76.22251,0.0,307.0,511.0,CAPT STEVE,,WYB7050,52,15,17,7,2.2,52,A
636016407,2024-01-01T00:00:04,48.16249,-125.48239,12.6,229.0,224.0,SEAWAYS HERCULES,IMO9328285,D5GA5,80,0,184,32,10.8,80,A
366816020,2024-01-01T00:00:05,27.83385,-97.50098,6.1,126.6,511.0,SCOTT R WILSON,IMO8635667,WDA5062,31,12,115,34,2.9,52,A
367431620,2024-01-01T00:00:03,41.10692,-73.05079,9.5,51.6,50.0,MOUNT ST ELIAS,IMO8749884,WDI8452,31,12,125,24,4.3,57,A
367313530,2024-01-01T00:00:00,29.71972,-91.70124,0.0,291.8,511.0,PADDY ANN,IMO120176400,WDN2659,31,15,15,6,0.0,90,A
367515090,2024-01-01T00:00:07,39.21164,-76.58141,0.0,329.7,511.0,GEORGETOWN,,WDG2383,31,0,21,7,2.2,31,A
367706270,2024-01-01T00:00:09,31.35925,-81.10839,9.1,192.9,511.0,KATAN,IMO8852710,WDM7615,52,0,29,9,4.0,52,A
367008750,2024-01-01T00:00:00,30.09842,-93.32667,6.9,170.1,171.0,M L CROCHET,IMO101044982,WCW9456,52,0,20,8,2.7,57,A
366996490,2024-01-01T00:00:05,30.19658,-91.12155,0.0,221.8,234.0,GABRIELLE ELIZABETH,,WDC2694,52,0,22,8,3.0,52,A
246452000,2024-01-01T00:00:04,24.77977,-80.47618,16.5,228.1,228.0,SPAARNEGRACHT,IMO9202558,PDBO,70,0,168,25,8.2,70,A
367507790,2024-01-01T00:00:01,29.14223,-90.20454,0.0,75.1,248.0,HARVEY SUPPORTER,IMO9581227,WDF9689,70,0,89,20,4.0,70,A
367576750,2024-01-01T00:00:07,29.74996,-95.10494,0.0,59.8,319.0,RED RIVER,,WDG8366,31,12,115,34,3.1,57,A
367646390,2024-01-01T00:00:06,29.84899,-90.02492,0.0,248.3,511.0,ANDREW C,,WDH7256,31,0,19,7,2.5,90,A
368290350,2024-01-01T00:00:00,29.14332,-90.21261,0.0,183.0,159.0,C-ENFORCER,IMO9219484,WDN5471,39,0,73,17,4.5,39,A
367077850,2024-01-01T00:00:05,28.94636,-89.40184,0.0,280.1,511.0,SMITH HUNTER,IMO0000373,WDC7849,31,0,21,8,3.0,99,A
477765800,2024-01-01T00:00:03,40.56579,-74.03145,14.2,169.5,168.0,COSCO AUCKLAND,IMO9484261,VRKF8,71,0,261,32,10.3,71,A
366990040,2024-01-01T00:00:01,29.35030,-89.50932,0.0,60.5,302.0,KACIE LUHR,,WDC2252,31,0,26,12,2.8,31,A
316042365,2024-01-01T00:00:07,49.31071,-123.08450,0.0,34.6,33.0,BURRARD CHINOOK,IMO9834959,CFA3218,69,0,34,12,0.0,69,A
368158760,2024-01-01T00:00:00,30.72762,-91.35479,10.1,157.3,511.0,REDDING C,,WDL7279,99,0,20,8,3.1,99,A
367492920,2024-01-01T00:00:04,33.73504,-118.27105,0.0,9.2,511.0,WYATT M,IMO8978710,WDF8246,90,15,31,8,0.0,0,A
366969980,2024-01-01T00:00:04,37.80301,-122.38852,8.5,165.0,163.0,MARIN,,WZC8518,40,15,47,10,0.0,40,A
366992110,2024-01-01T00:00:03,33.78496,-78.55724,4.0,205.9,210.0,BIG M CASINO,,WDC2379,60,0,52,12,0.0,60,A
367728730,2024-01-01T00:00:05,30.18426,-93.30984,0.0,355.4,231.0,CONCHO,,WDI7438,31,12,89,12,2.9,52,A
368142610,2024-01-01T00:00:03,29.99565,-93.91259,0.0,300.2,511.0,SIMON MATTHEW,IMO0000051,WDL5605,31,12,92,16,2.2,57,A
367766740,2024-01-01T00:00:06,30.03060,-90.69247,0.0,312.6,511.0,SHAWN WILLIAMS,IMO1268557,WDJ3307,31,0,20,9,3.0,31,A
367702360,2024-01-01T00:00:08,31.15518,-91.60043,5.3,38.8,27.0,RON W CALLEGAN,,WDI4821,31,12,487,55,3.4,57,A
367566160,2024-01-01T00:00:07,29.82479,-92.65145,0.1,339.2,511.0,SEATIGER,,WDG7325,52,0,17,7,4.0,52,A
316023959,2024-01-01T00:00:09,42.09879,-83.11334,0.0,78.2,511.0,PRIDE,,CFN6705,52,0,20,10,2.4,52,A
316001252,2024-01-01T00:00:05,48.68902,-123.40947,0.0,72.5,244.0,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60,0,96,21,3.7,60,A
367606280,2024-01-01T00:00:02,29.79184,-92.14267,0.0,285.3,511.0,THERESE DANOS,IMO9097135,WDH3296,70,0,40,22,0.0,70,A
367653480,2024-01-01T00:00:04,29.52962,-89.71192,0.0,71.6,511.0,JUNIOR G,,WDH7979,52,0,16,6,2.0,52,A
367472930,2024-01-01T00:00:06,36.93817,-76.33831,7.1,8.7,511.0,ISLAND LOOKOUT,,WDN4427,31,0,22,5,2.9,31,A
368278830,2024-01-01T00:00:01,45.44600,-124.68435,6.5,183.6,179.0,MONTLAKE,IMO9032783,WDN4196,52,0,148,22,5.3,52,A
367444740,2024-01-01T00:00:07,27.86493,-97.16443,0.0,52.5,511.0,RISEN SAVIOUR,IMO101191228,WDF3849,31,12,101,22,3.2,57,A
368504000,2024-01-01T00:00:00,28.88277,-83.19863,5.6,94.9,92.0,CAPTAIN DANN,IMO7367251,WBH6425,31,0,120,18,6.3,57,A
368023770,2024-01-01T00:00:07,38.57479,-76.07112,0.0,230.8,59.0,AMERICN CONSTITUTION,IMO9901518,WDJ9210,60,5,85,17,3.0,60,A
367458640,2024-01-01T00:00:05,29.98058,-81.64704,0.0,34.5,511.0,RIO BRAVO,IMO8333207,WDL7896,32,0,31,10,5.5,32,A
367760730,2024-01-01T00:00:03,33.93361,-77.98520,17.1,225.2,511.0,SEA SUB,,WDJ2686,69,0,22,5,1.8,69,A
368119120,2024-01-01T00:00:03,29.89312,-89.90638,6.2,166.1,160.0,SCF MARINE HIGHWAY,,WDL3185,57,12,212,33,3.1,57,A
367744140,2024-01-01T00:00:05,29.96085,-90.23571,0.9,108.3,511.0,ROBIN R,,WDI8986,52,0,18,7,2.6,52,A
367161570,2024-01-01T00:00:02,33.35008,-118.31413,5.9,150.6,511.0,ISLAND EXPLORER 3,,WDL7058,60,0,23,7,3.0,6,A
367652650,2024-01-01T00:00:04,33.39768,-118.31364,17.3,16.4,511.0,TWO HARBORS,,WDH7890,60,0,24,6,0.0,60,A
338025000,2024-01-01T00:00:01,28.93254,-95.32457,0.0,21.1,85.0,G L 54,,WDH5375,33,3,69,18,2.0,33,A
367424420,2024-01-01T00:00:00,29.74837,-95.11022,0.0,39.2,511.0,HADEN II,IMO9215335,WDF2064,52,0,30,12,5.0,52,A
367534880,2024-01-01T00:00:03,29.94535,-90.37443,0.1,321.7,511.0,LOUISIANA HERITAGE,,WDG4280,52,0,20,10,2.9,52,A
368284000,2024-01-01T00:00:02,28.69334,-89.37532,0.6,105.1,290.0,LANEY CHOUEST,IMO9271690,WDN5472,30,3,105,22,7.0,20,A
366999450,2024-01-01T00:00:02,30.40072,-88.25749,0.0,23.0,511.0,LAWSON,,AECY,31,12,32,12,2.5,31,A
368182130,2024-01-01T00:00:01,29.75758,-95.09365,0.0,296.2,298.0,GRAND CHENIER,,WDL9772,52,12,205,10,2.7,57,A
367779120,2024-01-01T00:00:07,38.76255,-90.13765,3.9,211.7,209.0,ANGELA K,,WDK7046,31,12,357,55,3.0,57,A
368217380,2024-01-01T00:00:07,29.96878,-93.85990,0.0,283.3,511.0,MFS SHIFTER,,WDM5593,31,15,17,8,0.0,31,A
367407750,2024-01-01T00:00:08,27.86421,-97.04798,0.0,357.5,20.0,GENIE,,WDF8288,31,12,124,34,3.1,57,A
368169220,2024-01-01T00:00:08,29.87979,-90.07323,0.0,221.9,511.0,MORGAN RAY,,WDL8405,52,12,22,8,2.5,52,A
368244040,2024-01-01T00:00:04,40.67020,-74.08326,0.0,106.7,198.0,EVERLY MIST,,WDM8520,52,12,35,11,0.0,52,A
352002706,2024-01-01T00:00:01,36.40532,-122.68610,12.5,150.6,152.0,CL KIZUNA,IMO9789049,3E5019,70,0,180,30,7.0,70,A
367702520,2024-01-01T00:00:08,29.06246,-95.67184,0.0,295.9,345.0,SAFETY RUNNER,,WDI4835,31,0,21,9,3.0,31,A
316005772,2024-01-01T00:00:13,49.12394,-123.18802,0.0,207.9,511.0,DENMAN ISLE,,VY5356,30,15,21,6,3.1,30,A
367164240,2024-01-01T00:00:06,29.96663,-93.85849,0.0,219.4,511.0,ELEANOR F MORAN,IMO9415753,WDD5824,52,0,28,10,4.2,52,A
538005608,2024-01-01T00:00:00,29.23282,-94.50109,7.8,308.9,308.0,STI PONTIAC,IMO9704465,V7FK4,80,0,182,32,10.9,80,A
368148180,2024-01-01T00:00:03,29.78455,-95.09614,0.1,285.9,343.0,KAMI RENEE,,WDL6178,52,12,22,10,3.3,57,A
367530760,2024-01-01T00:00:03,34.72130,-90.56839,4.8,4.8,2.0,JACKY L O'NEAL,,WDG3892,31,0,483,54,3.0,57,A
366963860,2024-01-01T00:00:03,29.79372,-90.01451,1.5,205.4,511.0,OKALOOSA,IMO8992596,WDB8768,52,0,20,8,3.3,52,A
367033750,2024-01-01T00:00:02,29.81747,-93.98077,0.0,263.8,511.0,BAD DOG,,WDC4975,31,0,13,4,0.0,31,A
367106750,2024-01-01T00:00:03,29.77166,-95.10204,0.0,312.4,276.0,BOYD GOLDING,,WDC9793,52,12,25,12,3.0,57,A
316021279,2024-01-01T00:00:03,48.43240,-123.42730,0.0,0.0,140.0,CFAV GLENDALE,,CGQD,31,15,30,10,0.0,31,A
367702550,2024-01-01T00:00:03,29.94348,-90.13977,9.6,175.8,178.0,SAFETY TEAM,,WDI4838,52,12,21,8,0.0,52,A
367688770,2024-01-01T00:00:03,27.82256,-97.43016,0.0,8.2,511.0,CAPT ROBERT J BANTA,,WDI3481,31,0,26,9,2.6,57,A
366884240,2024-01-01T00:00:04,27.93342,-82.43381,0.0,18.8,511.0,ENDEAVOR,IMO9237905,WDB3177,52,15,28,16,5.1,52,A
316027734,2024-01-01T00:00:04,49.19286,-122.92076,0.0,0.0,511.0,VFPA5,,CFK5370,53,0,13,3,1.8,53,A
368273170,2024-01-01T00:00:03,30.07190,-90.90601,0.0,321.5,138.0,MELANIE HART,,WDN3599,31,12,46,16,2.8,22,A
367736640,2024-01-01T00:00:02,30.07737,-94.07061,0.0,187.4,262.0,PORT EADS,,WDI8245,31,0,113,18,2.9,57,A
316001637,2024-01-01T00:00:01,42.69137,-80.09048,10.9,332.1,331.0,CSL LAURENTIEN,IMO7423108,VCJW,79,0,225,24,8.1,79,A
367477690,2024-01-01T00:00:03,34.72004,-76.69474,0.0,187.0,511.0,FORT MACON,IMO5238779,WDF6773,52,0,28,7,3.0,52,A
367602890,2024-01-01T00:00:06,28.53670,-88.88581,10.2,284.9,281.0,GRAND ISLE,IMO9703746,WDH2957,70,0,95,20,5.0,70,A
366877090,2024-01-01T00:00:04,30.35239,-88.51011,0.0,262.9,511.0,SIMPLE MAN,IMO8036512,WDB2544,30,0,22,7,0.0,33,A
368077920,2024-01-01T00:00:03,37.33592,-77.26134,0.1,128.0,286.0,RANGER,IMO159000000,WDK6772,52,0,22,10,2.2,52,A
368014250,2024-01-01T00:00:02,30.03536,-90.69593,0.0,299.9,511.0,MARY MORAN,IMO7716971,WDJ8216,52,0,26,6,4.9,52,A
367427270,2024-01-01T00:00:01,29.80745,-92.06598,5.2,67.0,69.0,MISS KELLY,,WDF2315,31,12,27,11,3.1,31,A
368071290,2024-01-01T00:00:00,40.70945,-73.98486,0.1,360.0,511.0,EMERALD PRINCESS,,WDK6110,60,0,28,8,0.0,60,A
367080090,2024-01-01T00:00:06,27.81024,-97.33966,7.1,86.6,511.0,SEA HOG,,WDC7997,52,5,18,8,3.0,52,A
369131000,2024-01-01T00:00:06,40.64278,-74.11727,0.0,360.0,154.0,FORT MCHENRY,IMO9804681,WDI9336,31,0,28,10,0.0,31,A
316004787,2024-01-01T00:00:08,49.08565,-123.11034,0.0,360.0,511.0,PACIFIC DISCOVERY,IMO9456202,,30,0,19,7,0.0,30,A
367683810,2024-01-01T00:00:06,29.29098,-91.45519,17.0,220.0,511.0,ANITA D,,WDI2987,60,15,20,5,1.5,60,A
367720970,2024-01-01T00:00:04,29.40855,-94.73943,0.0,6.8,227.0,LAWRENCE CAMPBELL,,WDI6665,31,12,27,9,3.1,31,A
366863870,2024-01-01T00:00:05,41.08714,-72.35863,0.0,153.8,511.0,MASHOMACK,,WDA9320,69,0,40,14,2.0,69,A
367153070,2024-01-01T00:00:03,40.26499,-124.96061,9.6,159.6,161.0,MIKIONA,IMO9415583,WDD5057,31,0,37,12,4.9,31,A
366963050,2024-01-01T00:00:03,38.72089,-90.16728,0.0,224.2,30.0,DALE A HELLER,IMO100624201,WDL2017,31,12,348,34,2.9,57,A
